Campus,Dorm_Name,Type,Number_Students,Floors,Average_Room_Size,Availability,Occupancy,Room_Style,AC,Bathroom,Kitchen,Elevator,Open_During_Breaks,URL
Livingston,Lynton Towers North,Dorm,343,7,Varies,"Continuing, First-Year",2,double,No,Communal,Communal,Yes,Yes,https://ruoncampus.rutgers.edu/living-on-campus/livingston/lynton-towers-north
Livingston,Lynton Towers South,Dorm,343,7,Varies,"Continuing, First-Year",2,double,No,Communal,Communal,Yes,Yes,https://ruoncampus.rutgers.edu/living-on-campus/livingston/lynton-towers-south
Livingston,Quad I,Dorm,468,5,210,"Continuing, First-Year",2,double,No,Communal,Communal,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/livingston/quad-i
Livingston,Quad II,Dorm,505,5,210,"Continuing, First-Year",2,double,No,Communal,Communal,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/livingston/quad-ii
Livingston,Quad III,Dorm,494,5,210,"Continuing, First-Year",2,double,No,Communal,Communal,No,Yes,https://ruoncampus.rutgers.edu/living-on-campus/livingston/quad-iii
College Ave,Brett Hall,Dorm,216,,192,"Continuing, Honors",2,double,No,Communal,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/brett-hall
College Ave,Campbell Hall,Dorm,328,6,228,First-Year,2,double,No,Communal,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/campbell-hall
College Ave,Clothier Hall,Dorm,378,8,192,Continuing,2,double,No,Communal,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/clothier-hall
College Ave,Demarest Hall,Dorm,170,3,Varies,"Continuing, First-Year",2,double,No,Communal,Communal,No,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/demarest-hall
College Ave,Frelinghuysen Hall,Dorm,328,6,228,First-Year,2,double,No,Communal,Communal,Yes,Yes,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/frelinghuysen-hall
College Ave,Hardenbergh Hall,Dorm,328,6,228,Continuing,2,double,Yes,Communal,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/hardenbergh-hall
College Ave,Hegeman Hall,Dorm,73,3,Varies,Continuing,2,double,No,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/hegeman-hall
College Ave,Honors College,Dorm,542,5 (4 residential),Varies,First-Year Honors College,2,double,Yes,Communal,Communal,Yes,Yes,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/honors-college
College Ave,Leupp Hall,Dorm,39,3,198,Continuing,2,double,No,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/leupp-hall
College Ave,Mettler Hall,Dorm,202,4,192,"Continuing, First-Year",2,double,Yes,Communal,Communal,Yes,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/mettler-hall
College Ave,Pell Hall,Dorm,60,3,228,Continuing,2,double,No,Communal,No,No,No,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/pell-hall
College Ave,Sojourner Truth Apartments,Apartment,436,,Varies,Continuing,4,single,Yes,Private ,Yes,Yes,Yes,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/sojourner-truth-apartments
