Campus,Dorm_Name,URL,Elevator,Type,Number_Students,Floors,Average_Room_Size,Availability,Contract_Type
Livingston,Quad III,https://ruoncampus.rutgers.edu/living-on-campus/livingston/quad-iii,No,Traditional Hall,494,5,210,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
College Ave,Brett Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/brett-hall,Yes,Traditional Hall,216,,192,"Continuing, Honors",Undergraduate Academic Year (Two semesters)
College Ave,Campbell Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/campbell-hall,Yes,Traditional Hall,328,6,228,First-Year,Undergraduate Academic Year (Two semesters)
College Ave,Clothier Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/clothier-hall,Yes,Traditional Hall,378,8,192,Continuing,Undergraduate Academic Year (Two semesters)
College Ave,Demarest Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/demarest-hall,No,Traditional Hall,170,3,Varies,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
College Ave,Frelinghuysen Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/frelinghuysen-hall,Yes,Traditional Hall,328,6,228,First-Year,Undergraduate Academic Year (Two semesters)
College Ave,Hardenbergh Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/hardenbergh-hall,Yes,Traditional Hall,328,6,228,Continuing,Undergraduate Academic Year (Two semesters)
College Ave,Hegeman Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/hegeman-hall,No,Traditional Hall,73,3,Varies,Continuing,Undergraduate Academic Year (Two semesters)
College Ave,Honors College,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/honors-college,Yes,Traditional Hall,542,5 (4 residential),Varies,First-Year Honors College,Undergraduate Academic Year (Two semesters)
College Ave,Leupp Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/leupp-hall,No,Traditional Hall,39,3,198,Continuing,Undergraduate Academic Year (Two semesters)
College Ave,Mettler Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/mettler-hall,Yes,Traditional Hall,202,4,192,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
College Ave,Pell Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/pell-hall,No,Traditional Hall,60,3,228,Continuing,Undergraduate Academic Year (Two semesters)
College Ave,Sojourner Truth Apartments,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/sojourner-truth-apartments,Yes,Apartments,436,,Varies,Continuing,Undergraduate Academic Year (Two Semesters 9-Month)
College Ave,Stonier Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/stonier-hall,Yes,Traditional Hall,170,5,192,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
